simulation time;speed gene;sensor gene;processing gene;gluttony gene;reproduction wilness gene;energy storage capacity gene;parental empathy gene;aggresivness gene;health gene;food preference gene;creatures count;average creature cost;average amount of body parts;average amount of protective spikes;average amount of composters;average amount of turbines;average amount of offensive spikes
0,0;0,5017639;0,4988837;0,5014632;0,4961904;0,5020974;0,4998305;0,5000359;0,4971798;0,50166;0,5;36;82,44436083540222;0,05555556;0,0;0,02777778;0,02777778;0,0
500,0088;0,5040568;0,4934033;0,5051767;0,4979423;0,5034985;0,5005667;0,4996261;0,4979416;0,4997802;0,5;95;97,242278955055;0,1894737;0,01052632;0,07368421;0,07368421;0,03157895
1000,007;0,5202135;0,4807675;0,5153072;0,5022333;0,5099871;0,5070332;0,4953065;0,5035371;0,4971364;0,5;76;97,48709860142594;0,4868421;0,09210526;0,1842105;0,2105263;0,0
1500,007;0,5419348;0,4656121;0,5289152;0,5050257;0,4931686;0,508766;0,5041481;0,5140171;0,4989792;0,5;72;101,4274113399579;1,222222;0,2638889;0,2083333;0,75;0,0
2000,018;0,547316;0,4617696;0,5473942;0,5061616;0,4876175;0,5028349;0,49277;0,5082111;0,5001844;0,5;65;94,68199078342255;1,707692;0,2;0,2;1,307692;0,0
2500,007;0,5311099;0,4385367;0,569475;0,5116255;0,4768623;0,5006871;0,4816496;0,5023841;0,5127405;0,5;76;97,39300812002107;1,842105;0,0;0,05263158;1,789474;0,0
3000,028;0,5343994;0,4247209;0,5760664;0,5088351;0,460266;0,5043957;0,484108;0,5028911;0,5121747;0,5;84;98,77913537581209;2,059524;0,02380952;0,1190476;1,904762;0,01190476
3500,011;0,5357689;0,4170896;0,5832769;0,5139263;0,4563789;0,5050815;0,4880927;0,4961546;0,5082447;0,5;74;103,35072858173771;2,189189;0,06756756;0,1891892;1,932432;0,0
4000,04;0,5459609;0,3958142;0,5918493;0,5187148;0,4594821;0,4967217;0,5027789;0,4954544;0,4974418;0,5;78;101,29653115936284;2,371795;0,1923077;0,2564103;1,923077;0,0
4500,01;0,5631133;0,3793453;0,5980546;0,518245;0,4715746;0,4926812;0,525648;0,4960628;0,4840964;0,5;78;113,84786446091618;2,589744;0,5;0,2179487;1,846154;0,02564103
